"교직 경력","학교 교육과정에서 진로교육 시수가 현재보다 확대되어야 한다","학습 또는 성적지도 수행 정도","학교생활 지도(창체활동 설계, 교우관계, 부적응 등) 수행 정도","진학.입시 정보 제공(상급학교 및 학과 정보) 수행 정도","진로계획 및 준비 지도(진로의사결정, 갈등 포함) 수행 정도","자기이해 지도(꿈, 흥미, 적성 파악) 수행 정도","직업정보 제공 수행 정도","진로체험 활동 지원 수행 정도"
8,4,4,5,4,4,4,5,3
8,4,5,5,2,4,5,4,4
8,4,5,5,3,3,3,2,2
8,4,5,5,3,3,3,4,1
8,5,3,5,3,5,5,2,4
8,5,4,5,4,5,4,4,2
8,5,5,4,4,3,3,3,2
8,5,5,5,4,2,2,3,3
8,5,5,5,4,4,5,4,3
8,5,5,5,5,5,5,5,4
9,1,4,5,4,3,3,2,1
9,2,4,5,4,4,3,3,2
9,3,4,4,4,4,4,3,3
9,3,5,5,4,3,2,3,3
9,4,4,4,3,3,3,4,2
9,4,4,4,4,3,4,2,2
9,4,4,4,4,4,4,3,3
9,4,5,5,5,5,4,4,3
