,성별,석차,계열석차백분율,1학년 1학기,1학년 2학기,1학년 전학기,2학년 1학기,2학년 2학기,2학년 전학기,전학년
122,여,160,48.05,4.56,4.96,4.76,4.7,5.3,5,4.88
1019,남,161,48.35,5.24,4.88,5.06,0,4.52,4.52,4.89
212,여,162,48.65,4.88,5.16,5.02,4.91,4.61,4.76,4.9
71,여,163,48.95,5.08,5.08,5.08,4.61,0,4.61,4.93
511,남,164,49.25,4.88,5.32,5.1,5.13,4.39,4.76,4.94
417,여,165,49.55,5.12,5.44,5.28,4.87,4.3,4.59,4.95
32,남,166,49.85,4.8,5.2,5,4.78,5.04,4.91,4.96
718,여,167,50.15,4.68,4.88,4.78,5.09,5.26,5.17,4.97
413,남,168,50.45,4.64,4.64,4.64,5.26,5.48,5.37,4.99
424,여,169,50.75,4.84,4.92,4.88,5.04,5.22,5.13,5
717,남,170,51.05,5.08,4.6,4.84,5.04,5.35,5.2,5.01
31,여,171,51.35,4.92,5.32,5.12,4.96,4.87,4.91,5.02
326,남,172,51.65,4.44,4.2,4.32,5.78,5.87,5.83,5.04
215,여,173,51.95,4.28,5.4,4.84,5.13,5.43,5.28,5.05
27,여,174,52.25,5.72,5.04,5.38,4.48,0,4.48,5.1
115,남,175,52.55,5.48,5.56,5.52,5.43,4,4.72,5.14
1012,남,175,52.55,4.68,5.28,4.98,5.57,5.04,5.3,5.14
111,남,177,53.15,5.36,4.68,5.02,5.17,5.43,5.3,5.16
24,여,178,53.45,5.04,4.52,4.78,0,6.09,6.09,5.19
54,여,178,53.45,4.4,5.16,4.78,5.52,5.74,5.63,5.19
103,남,180,54.05,4.32,5.16,4.74,4.04,7.35,5.7,5.2
815,남,301,90.39,7.72,7.4,7.56,7.22,7.17,7.2,7.39
816,여,10,3,1.92,1.48,1.7,2.22,2.04,2.13,1.91
107,여,181,54.35,5.24,5.56,5.4,5.3,4.7,5,5.21
522,여,184,55.26,5.4,5.4,5.4,4.87,5.22,5.04,5.23
33,남,185,55.56,4.92,5.04,4.98,5.7,5.39,5.54,5.25
1219,여,185,55.56,5.68,4.84,5.26,5.13,5.35,5.24,5.25
122,여,187,56.16,6,5.32,5.66,4.78,4.87,4.83,5.26
111,여,188,56.46,5,5.28,5.14,5.26,5.57,5.41,5.27
316,여,188,56.46,5.24,5.32,5.28,5.35,5.17,5.26,5.27
1124,남,190,57.06,5.4,4.84,5.12,5.65,5.26,5.46,5.28
117,여,191,57.36,5.36,5.28,5.32,5.09,5.52,5.3,5.31
516,여,192,57.66,5.16,5.4,5.28,5.43,0,5.43,5.33
213,여,193,57.96,5,5.36,5.18,5.65,5.39,5.52,5.34
319,여,193,57.96,5.56,5.84,5.7,5.09,4.83,4.96,5.34
69,여,195,58.56,5.12,5.16,5.14,5.35,5.87,5.61,5.36
126,여,195,58.56,5.68,5.52,5.6,5.52,4.7,5.11,5.36
715,남,197,59.16,4.6,5.36,4.98,6,5.61,5.8,5.38
53,여,198,59.46,5.36,4.48,4.92,6.3,5.57,5.93,5.41
222,여,199,59.76,5.16,5.16,5.16,5.78,5.61,5.7,5.42
114,여,200,60.06,6.12,5.96,6.04,4.35,5.17,4.76,5.43
43,남,201,60.36,4.84,5.64,5.24,5.52,5.83,5.67,5.45
611,남,202,60.66,6.12,5.68,5.9,4.83,5.17,5,5.47
104,남,202,60.66,4.84,5.08,4.96,6,6.04,6.02,5.47
911,여,204,61.26,5.28,5.56,5.42,5.61,0,5.61,5.48
817,남,331,99.4,8.72,8.68,8.7,7.91,8.13,8.02,8.38
311,여,206,61.86,5.88,5.84,5.86,5.26,5,5.13,5.51
96,남,206,61.86,5.24,5.6,5.42,5.7,0,5.7,5.51
1014,여,208,62.46,5.6,5.44,5.52,5.78,5.26,5.52,5.52
1315,남,209,62.76,5.32,5.16,5.24,0,6.17,6.17,5.53
1218,여,210,63.06,5.52,5.08,5.3,5.48,6.22,5.85,5.56
126,남,211,63.36,4.8,5.16,4.98,5.96,6.52,6.24,5.58
77,남,212,63.66,4.52,5.32,4.92,6.39,6.35,6.37,5.61
1116,여,212,63.66,5.32,5.88,5.6,5.65,5.61,5.63,5.61
726,여,214,64.26,5.44,6.04,5.74,5.52,5.48,5.5,5.63
1025,남,214,64.26,5.88,5.36,5.62,0,5.65,5.65,5.63
818,남,282,84.68,6.24,7.28,6.76,7.48,6.96,7.22,6.98
1220,남,217,65.17,5.2,5.72,5.46,5.83,5.96,5.89,5.67
517,여,218,65.47,6,5.6,5.8,5.48,5.61,5.54,5.68
621,남,219,65.77,5.36,6.2,5.78,5.22,6,5.61,5.7
98,여,220,66.07,5.84,6.12,5.98,5.13,0,5.13,5.71
1117,여,221,66.37,6.28,5.6,5.94,5.26,0,5.26,5.73
1026,남,222,66.67,5.52,4.96,5.24,5.78,6.78,6.28,5.74
125,남,223,66.97,5.48,5.2,5.34,5.7,6.7,6.2,5.75
819,남,287,86.19,7.6,7.48,7.54,6.52,6.57,6.54,7.06
618,남,225,67.57,5.68,5.68,5.68,0,5.96,5.96,5.77
1017,남,226,67.87,5.76,5.88,5.82,0,5.7,5.7,5.78
124,남,227,68.17,6.4,6.24,6.32,5.52,4.96,5.24,5.8
1120,남,228,68.47,6.32,6.28,6.3,5.61,5.09,5.35,5.84
37,남,229,68.77,6.16,6.16,6.16,5.57,5.52,5.54,5.86
59,여,229,68.77,6.16,6.44,6.3,5.61,5.17,5.39,5.86
520,여,231,69.37,6.32,6.04,6.18,5.52,5.57,5.54,5.88
426,여,232,69.67,5.12,6.28,5.7,5.65,6.52,6.09,5.89
724,남,233,69.97,5.48,5.84,5.66,5.87,6.43,6.15,5.9
1121,여,233,69.97,5.96,5.92,5.94,5.83,0,5.83,5.9
510,여,235,70.57,5.6,5.76,5.68,5.74,6.61,6.17,5.92
916,남,236,70.87,5.44,5.72,5.58,6.17,6.48,6.33,5.94
1214,여,237,71.17,5.64,5.96,5.8,5.83,6.43,6.13,5.96
28,남,238,71.47,5.92,5.96,5.94,5.74,6.3,6.02,5.98
820,남,239,71.77,6.16,5.76,5.96,6.04,0,6.04,5.99
1128,남,239,71.77,6.04,5.8,5.92,6.22,5.91,6.07,5.99
518,남,241,72.37,6.28,5.68,5.98,6.17,0,6.17,6.04
915,남,242,72.67,5.88,6.16,6.02,6,6.3,6.15,6.08
63,남,243,72.97,5.84,5.6,5.72,0,6.91,6.91,6.1
1225,여,244,73.27,5.12,5.56,5.34,7.43,6.74,7.09,6.18
29,여,245,73.57,5.88,6.44,6.16,6.35,6.3,6.33,6.24
113,남,246,73.87,6,6.24,6.12,6.35,6.43,6.39,6.25
310,여,247,74.17,6.52,6.16,6.34,6.04,6.3,6.17,6.26
1110,남,247,74.17,6.2,6.36,6.28,6.13,6.35,6.24,6.26
727,여,249,74.77,6.88,6.96,6.92,5.61,5.61,5.61,6.29
123,여,250,75.08,8,6.16,6.98,5.52,5.78,5.65,6.31
821,남,131,39.34,4.36,4.84,4.6,4.17,4.7,4.43,4.52
220,남,252,75.68,6.32,5.84,6.08,6.7,6.57,6.63,6.34
22,남,253,75.98,6.68,6.44,6.56,6,0,6,6.38
1224,남,253,75.98,6.6,6.44,6.52,6.09,0,6.09,6.38
26,여,255,76.58,5.96,6.12,6.04,7.04,6.65,6.85,6.43
1119,남,256,76.88,6.04,6.48,6.26,6.7,6.78,6.74,6.49
822,남,181,54.35,4.32,5,4.66,5.61,6,5.8,5.21
1211,여,257,77.18,6.96,7.44,7.2,6,5.52,5.76,6.51
1313,남,259,77.78,6.36,6.4,6.38,6.04,7.48,6.76,6.56
1016,남,260,78.08,6.72,6.84,6.78,6.48,6.3,6.39,6.59
1126,남,261,78.38,6.56,6.6,6.58,6.57,6.78,6.67,6.63
124,여,261,78.38,7.12,6.44,6.78,6.7,6.22,6.46,6.63
418,남,263,78.98,6,6.4,6.2,6.91,7.35,7.13,6.65
1222,남,264,79.28,6.52,6.6,6.56,6.91,6.61,6.76,6.66
321,남,265,79.58,6.32,6.84,6.58,6.65,7,6.83,6.7
523,남,265,79.58,6.48,6.84,6.66,6.7,6.78,6.74,6.7
1217,여,265,79.58,7.12,6.56,6.84,6.48,6.61,6.54,6.7
1114,남,268,80.48,6.76,6.6,6.68,6.65,6.91,6.78,6.73
110,남,269,80.78,6.68,7,6.84,6.74,6.52,6.63,6.74
131,남,270,81.08,6.84,6.44,6.64,6.96,6.87,6.91,6.77
219,남,271,81.38,6.76,6.84,6.8,6.91,6.65,6.78,6.79
119,여,272,81.68,7.28,6.76,7.02,6.39,6.78,6.59,6.81
710,남,273,81.98,7.16,7.32,7.24,6.3,6.52,6.41,6.84
35,남,274,82.28,6.28,6.44,6.36,7.65,7.13,7.39,6.85
1216,여,275,82.58,6.72,7.2,6.96,6.74,6.78,6.76,6.86
921,남,276,82.88,7.12,6.92,7.02,6.65,0,6.65,6.9
1314,남,277,83.18,6.36,6.56,6.46,7.57,7.22,7.39,6.91
420,남,278,83.48,6.44,7,6.72,6.83,7.43,7.13,6.92
93,남,279,83.78,7.72,7.84,7.78,5.3,6.7,6,6.93
16,여,280,84.08,6.24,6.8,6.52,7.35,7.48,7.41,6.95
723,여,281,84.38,6.84,7.28,7.06,6.78,0,6.78,6.97
823,여,70,21.02,3.68,3.4,3.54,3.61,3.48,3.54,3.54
1318,여,283,84.98,6.6,7.28,6.94,7.13,0,7.13,7
1215,남,284,85.29,7.04,7.2,7.12,6.78,0,6.78,7.01
1320,남,285,85.59,7.16,7.32,7.24,7.13,6.48,6.8,7.03
324,여,286,85.89,6.8,7.64,7.22,6.87,6.87,6.87,7.05
